REWARDS COMPUTED TO BLOCK: 18010891
address, credit_account_miner, early_community_member, early_liquidity_provider, early_credit_account_user, cider_participants, early_gear_lps, pool ddai, pool dusdc, pool dweth, pool dwbtc, pool dwsteth, pool dfrax, cm dai, cm usdc, cm weth, cm wbtc, cm wsteth, cm frax, total, claimed, to pay
0x7904adb48351af7b835cb061316795d5226b7f1a, 100000, 30000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130000, 100000, 30000
0xb9cf71aad861e7226ef2c07fcd2feed6d0f9a643, 100000, 20000, 0, 0, 0, 0, 3, 28, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120033, 120000, 33
0xa55e8f346a2e48045f0418aae297aae166f614ce, 100000, 20000, 0, 0, 61480, 5775, 0, 29224, 26720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 243199, 243199, 0
0x2bfe66759f0331066f3e7d57b3dc9a96bfc17927, 100000, 30000, 0, 0, 7474, 727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138201, 137474, 727
0x65d3113f809180b1e263f38b8404941a6a7f5299, 100000, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100006, 100000, 6
0x0e63ee1a039bcc422b1baaf65c7ae30c497d3fc8, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xb941f9b7566e7108332a9ec187d222a1cc05e422, 100000, 20000, 0, 0, 6899, 727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127626, 127626, 0
0xaaeb5840f5ca5f2bb90f3e88b24ddaca4448c240, 100000, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120000, 120000, 0
0x1d4a8f52c66ee1393ab0bfb8838e096cc2cd106d, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x7e7f6b58cc894c3a65b301944fff1e2146c5c7ae, 100000, 0, 0, 0, 5749, 4028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109777, 109777, 0
0xdbccea4c4fbe723aca82fd4bd605d80617f53d68, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
